congress,chamber,rollnumber,icpsr,cast_code,prob
116,Senate,2,40915,1,93.0
116,Senate,2,40916,6,93.1
116,Senate,2,41101,6,99.4
116,Senate,2,41102,1,100.0
116,Senate,2,41104,1,100.0
116,Senate,2,41107,1,100.0
116,Senate,2,41110,1,100.0
116,Senate,2,41111,1,100.0
116,Senate,2,41112,6,99.5
116,Senate,2,41300,6,82.5
116,Senate,2,41301,6,100.0
116,Senate,2,41302,1,100.0
116,Senate,2,41304,9,100.0
116,Senate,2,41305,6,89.3
116,Senate,2,41308,6,100.0
116,Senate,2,41500,1,100.0
116,Senate,2,41501,9,100.0
116,Senate,2,41502,1,100.0
116,Senate,2,41503,1,100.0
116,Senate,2,41504,1,100.0
116,Senate,2,41505,1,100.0
116,Senate,2,41700,6,87.0
116,Senate,2,41701,6,100.0
116,Senate,2,41702,6,89.0
116,Senate,2,41703,1,100.0
116,Senate,2,41705,1,77.0
116,Senate,2,41706,6,99.0
116,Senate,2,41707,1,100.0
116,Senate,2,41900,1,100.0
116,Senate,2,41901,1,100.0
116,Senate,2,41902,1,100.0
116,Senate,2,41903,1,100.0
116,Senate,2,49300,6,96.4
116,Senate,2,49308,6,99.6
116,Senate,2,49703,1,83.1
116,Senate,2,49706,1,100.0
116,Senate,2,94659,1,100.0
116,Senate,3,14226,1,97.7
116,Senate,3,14307,6,99.8
116,Senate,3,14435,6,100.0
116,Senate,3,14852,1,98.1
116,Senate,3,14858,6,100.0
116,Senate,3,14871,6,99.9
116,Senate,3,14921,6,1.1
116,Senate,3,15015,6,93.2
116,Senate,3,15021,9,99.9
116,Senate,3,15408,6,99.7
116,Senate,3,15424,1,99.4
116,Senate,3,20101,1,99.8
116,Senate,3,20146,1,98.2
116,Senate,3,20330,6,100.0
116,Senate,3,20351,1,99.6
116,Senate,3,20707,6,99.0
116,Senate,3,20713,6,100.0
116,Senate,3,20735,6,100.0
116,Senate,3,20919,1,98.3
116,Senate,3,20923,6,98.0
116,Senate,3,20930,6,99.0
116,Senate,3,21112,1,99.0
116,Senate,3,21133,1,99.1
116,Senate,3,21166,1,99.7
116,Senate,3,21173,1,99.1
116,Senate,3,21300,1,44.2
116,Senate,3,21301,1,99.6
116,Senate,3,21325,9,98.3
116,Senate,3,21338,1,98.5
116,Senate,3,21350,1,99.9
